State/UT,Year,Accounts_Disbursed,Amount_Disbursed_Crores,Outstanding_Accounts_2021,Outstanding_Amount_Crores_2021,STEM_Enrollment_Total,STEM_Enrollment_Female,STEM_Enrollment_Male,Region,Average_Loan_Size_Lakhs,STEM_Enrollment_Female_Pct,Growth_Rate_2021_to_2023_Pct
Andaman and Nicobar Islands,2021-22,113,4.66,531,26.53,2067.0,1057.0,1010.0,South,4.123893805309734,51.13691340106434,-17.167381974248933
Andaman and Nicobar Islands,2022-23,170,6.85,531,26.53,2067.0,1057.0,1010.0,South,4.029411764705882,51.13691340106434,-17.167381974248933
Andaman and Nicobar Islands,2023-24,165,3.86,531,26.53,2067.0,1057.0,1010.0,South,2.3393939393939394,51.13691340106434,-17.167381974248933
Andhra Pradesh,2021-22,30429,1439.88,96434,6189.84,977006.0,422331.0,554675.0,South,4.731933353051366,43.227063088660664,59.58829902491873
Andhra Pradesh,2022-23,67227,2779.33,96434,6189.84,977006.0,422331.0,554675.0,South,4.134246656849182,43.227063088660664,59.58829902491873
Andhra Pradesh,2023-24,88697,2297.88,96434,6189.84,977006.0,422331.0,554675.0,South,2.590707690226276,43.227063088660664,59.58829902491873
Arunachal Pradesh,2021-22,91,1.77,370,13.11,4118.0,1352.0,2766.0,Northeast,1.945054945054945,32.83147158814958,277.96610169491527
Arunachal Pradesh,2022-23,125,3.73,370,13.11,4118.0,1352.0,2766.0,Northeast,2.984,32.83147158814958,277.96610169491527
Arunachal Pradesh,2023-24,200,6.69,370,13.11,4118.0,1352.0,2766.0,Northeast,3.345,32.83147158814958,277.96610169491527
Assam,2021-22,4034,88.43,13194,493.36,93995.0,30966.0,63029.0,Northeast,2.192117005453644,32.944305548167456,27.128802442609967
Assam,2022-23,4939,143.0,13194,493.36,93995.0,30966.0,63029.0,Northeast,2.89532293986637,32.944305548167456,27.128802442609967
Assam,2023-24,4946,112.42,13194,493.36,93995.0,30966.0,63029.0,Northeast,2.272947836635665,32.944305548167456,27.128802442609967
Bihar,2021-22,8537,243.26,87346,2954.97,363223.0,120868.0,242355.0,East,2.849478739604076,33.276527092172024,8.702622708213442
Bihar,2022-23,10306,355.26,87346,2954.97,363223.0,120868.0,242355.0,East,3.447118183582379,33.276527092172024,8.702622708213442
Bihar,2023-24,10184,264.43,87346,2954.97,363223.0,120868.0,242355.0,East,2.5965239591516105,33.276527092172024,8.702622708213442
Chandigarh,2021-22,972,58.03,4168,349.25,22779.0,11710.0,11069.0,North,5.970164609053498,51.406997673295585,-16.629329657073924
Chandigarh,2022-23,1154,72.93,4168,349.25,22779.0,11710.0,11069.0,North,6.319757365684576,51.406997673295585,-16.629329657073924
Chandigarh,2023-24,955,48.38,4168,349.25,22779.0,11710.0,11069.0,North,5.065968586387434,51.406997673295585,-16.629329657073924
Chhattisgarh,2021-22,4522,132.33,17744,703.56,236340.0,103740.0,132600.0,Central,2.9263600176912874,43.89438943894389,32.19224665608705
Chhattisgarh,2022-23,5576,193.34,17744,703.56,236340.0,103740.0,132600.0,Central,3.4673601147776183,43.89438943894389,32.19224665608705
Chhattisgarh,2023-24,5633,174.93,17744,703.56,236340.0,103740.0,132600.0,Central,3.1054500266287945,43.89438943894389,32.19224665608705
Dadra and Nagar Haveli and Daman and Diu,2021-22,153,7.2,474,41.91,4078.0,1322.0,2756.0,West,4.705882352941177,32.41785188818048,80.27777777777779
Dadra and Nagar Haveli and Daman and Diu,2022-23,190,8.1,474,41.91,4078.0,1322.0,2756.0,West,4.2631578947368425,32.41785188818048,80.27777777777779
Dadra and Nagar Haveli and Daman and Diu,2023-24,322,12.98,474,41.91,4078.0,1322.0,2756.0,West,4.031055900621118,32.41785188818048,80.27777777777779
Delhi,2021-22,10900,520.97,35666,2284.53,238426.0,57254.0,181172.0,North,4.7795412844036695,24.01332069489066,-5.81223486957023
Delhi,2022-23,12780,660.94,35666,2284.53,238426.0,57254.0,181172.0,North,5.171674491392801,24.01332069489066,-5.81223486957023
Delhi,2023-24,12169,490.69,35666,2284.53,238426.0,57254.0,181172.0,North,4.032295176267565,24.01332069489066,-5.81223486957023
Goa,2021-22,1488,75.36,8134,502.45,14843.0,6217.0,8626.0,West,5.064516129032258,41.88506366637472,-15.127388535031846
Goa,2022-23,1792,97.73,8134,502.45,14843.0,6217.0,8626.0,West,5.453683035714286,41.88506366637472,-15.127388535031846
Goa,2023-24,1594,63.96,8134,502.45,14843.0,6217.0,8626.0,West,4.012547051442911,41.88506366637472,-15.127388535031846
Gujarat,2021-22,15180,857.15,49234,3527.47,600946.0,174344.0,426602.0,West,5.646574440052701,29.011591723715608,-3.492970891909227
Gujarat,2022-23,17426,1158.87,49234,3527.47,600946.0,174344.0,426602.0,West,6.650235280615172,29.011591723715608,-3.492970891909227
Gujarat,2023-24,16534,827.21,49234,3527.47,600946.0,174344.0,426602.0,West,5.003084553042216,29.011591723715608,-3.492970891909227
Haryana,2021-22,8594,413.87,30404,1774.94,293802.0,103215.0,190587.0,North,4.81580172213172,35.13080237711112,-1.0365573730881728
Haryana,2022-23,10791,590.26,30404,1774.94,293802.0,103215.0,190587.0,North,5.469928644240571,35.13080237711112,-1.0365573730881728
Haryana,2023-24,9742,409.58,30404,1774.94,293802.0,103215.0,190587.0,North,4.204270170396223,35.13080237711112,-1.0365573730881728
Himachal Pradesh,2021-22,3217,84.09,13592,485.92,99660.0,45708.0,53952.0,North,2.6139260180292196,45.863937387116195,11.452015697466994
Himachal Pradesh,2022-23,4250,119.51,13592,485.92,99660.0,45708.0,53952.0,North,2.812,45.863937387116195,11.452015697466994
Himachal Pradesh,2023-24,4114,93.72,13592,485.92,99660.0,45708.0,53952.0,North,2.27807486631016,45.863937387116195,11.452015697466994
Jammu and Kashmir,2021-22,930,45.9,14163,586.74,78796.0,36554.0,42242.0,North,4.935483870967742,46.39067972993553,21.982570806100227
Jammu and Kashmir,2022-23,1253,67.87,14163,586.74,78796.0,36554.0,42242.0,North,5.4166001596169195,46.39067972993553,21.982570806100227
Jammu and Kashmir,2023-24,1321,55.99,14163,586.74,78796.0,36554.0,42242.0,North,4.238455715367146,46.39067972993553,21.982570806100227
Jharkhand,2021-22,10558,322.3,40394,1992.2,112519.0,35312.0,77207.0,East,3.0526614889183556,31.383144180094032,-6.850760161340361
Jharkhand,2022-23,12743,421.41,40394,1992.2,112519.0,35312.0,77207.0,East,3.306992074079887,31.383144180094032,-6.850760161340361
Jharkhand,2023-24,12215,300.22,40394,1992.2,112519.0,35312.0,77207.0,East,2.4577977896029477,31.383144180094032,-6.850760161340361
Karnataka,2021-22,55361,1577.45,210437,7964.98,779164.0,326883.0,452281.0,South,2.8493885587326817,41.95304197832549,6.731750610161974
Karnataka,2022-23,71222,2403.78,210437,7964.98,779164.0,326883.0,452281.0,South,3.3750526522703663,41.95304197832549,6.731750610161974
Karnataka,2023-24,65136,1683.64,210437,7964.98,779164.0,326883.0,452281.0,South,2.584807172684844,41.95304197832549,6.731750610161974
Kerala,2021-22,59917,1999.17,307670,11050.9,426817.0,231874.0,194943.0,South,3.3365655823889715,54.32632720814775,9.009238834116164
Kerala,2022-23,80489,3344.55,307670,11050.9,426817.0,231874.0,194943.0,South,4.155288300264632,54.32632720814775,9.009238834116164
Kerala,2023-24,67566,2179.28,307670,11050.9,426817.0,231874.0,194943.0,South,3.2254092294941246,54.32632720814775,9.009238834116164
Ladakh,2021-22,17,1.57,33,2.86,0.0,0.0,0.0,North,9.235294117647058,0.0,-63.69426751592356
Ladakh,2022-23,16,1.17,33,2.86,0.0,0.0,0.0,North,7.3125,0.0,-63.69426751592356
Ladakh,2023-24,16,0.57,33,2.86,0.0,0.0,0.0,North,3.5624999999999996,0.0,-63.69426751592356
Lakshadweep,2021-22,1,0.01,14,0.47,214.0,148.0,66.0,South,1.0,69.1588785046729,1300.0
Lakshadweep,2022-23,3,0.21,14,0.47,214.0,148.0,66.0,South,7.0,69.1588785046729,1300.0
Lakshadweep,2023-24,4,0.14,14,0.47,214.0,148.0,66.0,South,3.5000000000000004,69.1588785046729,1300.0
Madhya Pradesh,2021-22,17233,527.13,88637,3045.19,881082.0,336994.0,544088.0,Central,3.0588405965299135,38.24774538578702,-6.104755942556865
Madhya Pradesh,2022-23,21128,730.14,88637,3045.19,881082.0,336994.0,544088.0,Central,3.4557932601287393,38.24774538578702,-6.104755942556865
Madhya Pradesh,2023-24,18632,494.95,88637,3045.19,881082.0,336994.0,544088.0,Central,2.656451266638042,38.24774538578702,-6.104755942556865
Maharashtra,2021-22,50835,2040.26,190637,8882.29,1439852.0,555097.0,884755.0,West,4.013494639520016,38.55236510419127,25.64232009645829
Maharashtra,2022-23,66021,3170.05,190637,8882.29,1439852.0,555097.0,884755.0,West,4.8015782856969755,38.55236510419127,25.64232009645829
Maharashtra,2023-24,58876,2563.43,190637,8882.29,1439852.0,555097.0,884755.0,West,4.353947279027107,38.55236510419127,25.64232009645829
Manipur,2021-22,215,5.67,832,39.54,29475.0,15885.0,13590.0,Northeast,2.6372093023255814,53.89312977099237,26.102292768959444
Manipur,2022-23,329,11.53,832,39.54,29475.0,15885.0,13590.0,Northeast,3.5045592705167175,53.89312977099237,26.102292768959444
Manipur,2023-24,268,7.15,832,39.54,29475.0,15885.0,13590.0,Northeast,2.667910447761194,53.89312977099237,26.102292768959444
Meghalaya,2021-22,808,36.03,3554,149.87,9904.0,4113.0,5791.0,Northeast,4.459158415841584,41.528675282714055,40.549542048293084
Meghalaya,2022-23,928,52.05,3554,149.87,9904.0,4113.0,5791.0,Northeast,5.608836206896552,41.528675282714055,40.549542048293084
Meghalaya,2023-24,1038,50.64,3554,149.87,9904.0,4113.0,5791.0,Northeast,4.878612716763006,41.528675282714055,40.549542048293084
Mizoram,2021-22,34,0.98,299,10.37,5659.0,2623.0,3036.0,Northeast,2.8823529411764706,46.3509453967132,93.87755102040816
Mizoram,2022-23,58,2.08,299,10.37,5659.0,2623.0,3036.0,Northeast,3.586206896551724,46.3509453967132,93.87755102040816
Mizoram,2023-24,57,1.9,299,10.37,5659.0,2623.0,3036.0,Northeast,3.3333333333333335,46.3509453967132,93.87755102040816
Nagaland,2021-22,115,3.4,347,15.41,5224.0,2346.0,2878.0,Northeast,2.9565217391304346,44.90811638591118,-11.176470588235292
Nagaland,2022-23,156,5.17,347,15.41,5224.0,2346.0,2878.0,Northeast,3.3141025641025643,44.90811638591118,-11.176470588235292
Nagaland,2023-24,146,3.02,347,15.41,5224.0,2346.0,2878.0,Northeast,2.0684931506849313,44.90811638591118,-11.176470588235292
Odisha,2021-22,9426,285.0,61057,2117.48,355370.0,115339.0,240031.0,East,3.0235518777848505,32.45603174156513,-0.44210526315789156
Odisha,2022-23,12916,376.13,61057,2117.48,355370.0,115339.0,240031.0,East,2.9121244967482194,32.45603174156513,-0.44210526315789156
Odisha,2023-24,12922,283.74,61057,2117.48,355370.0,115339.0,240031.0,East,2.19579012536759,32.45603174156513,-0.44210526315789156
Punjab,2021-22,7199,436.67,31025,2086.3,426981.0,176782.0,250199.0,North,6.065703569940269,41.40277904637443,-27.320402134334852
Punjab,2022-23,8886,511.04,31025,2086.3,426981.0,176782.0,250199.0,North,5.751069097456673,41.40277904637443,-27.320402134334852
Punjab,2023-24,7470,317.37,31025,2086.3,426981.0,176782.0,250199.0,North,4.24859437751004,41.40277904637443,-27.320402134334852
Puducherry,2021-22,1620,58.01,16831,430.1,35609.0,15801.0,19808.0,South,3.580864197530864,44.37361341233958,3.1201516979831103
Puducherry,2022-23,2001,89.32,16831,430.1,35609.0,15801.0,19808.0,South,4.463768115942029,44.37361341233958,3.1201516979831103
Puducherry,2023-24,1518,59.82,16831,430.1,35609.0,15801.0,19808.0,South,3.940711462450593,44.37361341233958,3.1201516979831103
Rajasthan,2021-22,12725,465.05,43102,2083.31,517902.0,153091.0,364811.0,North,3.654616895874263,29.559839506315868,-20.610687022900766
Rajasthan,2022-23,14792,609.95,43102,2083.31,517902.0,153091.0,364811.0,North,4.123512709572743,29.559839506315868,-20.610687022900766
Rajasthan,2023-24,12032,369.2,43102,2083.31,517902.0,153091.0,364811.0,North,3.0684840425531914,29.559839506315868,-20.610687022900766
Sikkim,2021-22,125,3.41,765,20.44,7918.0,2660.0,5258.0,Northeast,2.728,33.59434200555696,12.316715542521992
Sikkim,2022-23,185,7.65,765,20.44,7918.0,2660.0,5258.0,Northeast,4.135135135135135,33.59434200555696,12.316715542521992
Sikkim,2023-24,139,3.83,765,20.44,7918.0,2660.0,5258.0,Northeast,2.7553956834532376,33.59434200555696,12.316715542521992
Tamil Nadu,2021-22,56183,1419.25,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.526120000711959,40.789101566861255,15.661793200634136
Tamil Nadu,2022-23,80119,2225.79,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.7781050687102935,40.789101566861255,15.661793200634136
Tamil Nadu,2023-24,78655,1641.53,625735,16301.93,2033173.0,829313.0,1203860.0,South,2.0870001907062488,40.789101566861255,15.661793200634136
Telangana,2021-22,19658,1418.97,62962,5064.1,715664.0,328138.0,387526.0,South,7.218282633024723,45.85084620715867,14.457670000070463
Telangana,2022-23,33835,2326.41,62962,5064.1,715664.0,328138.0,387526.0,South,6.875749963056007,45.85084620715867,14.457670000070463
Telangana,2023-24,40281,1624.12,62962,5064.1,715664.0,328138.0,387526.0,South,4.031975373004642,45.85084620715867,14.457670000070463
Tripura,2021-22,696,16.47,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.3663793103448274,37.70314192849404,-4.007285974499079
Tripura,2022-23,816,22.72,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.784313725490196,37.70314192849404,-4.007285974499079
Tripura,2023-24,677,15.81,4386,106.86,15691.0,5916.0,9775.0,Northeast,2.3353028064992616,37.70314192849404,-4.007285974499079
Uttar Pradesh,2021-22,27646,823.45,105142,4269.58,1662093.0,525885.0,1136208.0,Central,2.9785502423497072,31.639926285713255,-0.3946809156597243
Uttar Pradesh,2022-23,33688,1154.25,105142,4269.58,1662093.0,525885.0,1136208.0,Central,3.4262942293991925,31.639926285713255,-0.3946809156597243
Uttar Pradesh,2023-24,31037,820.2,105142,4269.58,1662093.0,525885.0,1136208.0,Central,2.642652318200857,31.639926285713255,-0.3946809156597243
Uttarakhand,2021-22,5938,192.8,19899,903.13,164535.0,58412.0,106123.0,North,3.2468844728864936,35.50126112985079,-5.60165975103735
Uttarakhand,2022-23,7575,260.79,19899,903.13,164535.0,58412.0,106123.0,North,3.442772277227723,35.50126112985079,-5.60165975103735
Uttarakhand,2023-24,7130,182.0,19899,903.13,164535.0,58412.0,106123.0,North,2.552594670406732,35.50126112985079,-5.60165975103735
West Bengal,2021-22,21963,563.85,71639,3005.12,399650.0,121028.0,278622.0,East,2.5672722305695945,30.283498060803204,9.511394874523365
West Bengal,2022-23,39778,915.14,71639,3005.12,399650.0,121028.0,278622.0,East,2.300618432299261,30.283498060803204,9.511394874523365
West Bengal,2023-24,35688,617.48,71639,3005.12,399650.0,121028.0,278622.0,East,1.7302174400358663,30.283498060803204,9.511394874523365
